timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1657062000.0,0.2654,0.2754,0.2485,0.0708,0.2654,0.2534,0.1287,0.0866,0.1003,0.1059,0.1219,0.1055
1657065600.0,0.2654,0.2754,0.2485,0.0709,0.2654,0.2534,0.1290,0.0869,0.1004,0.1062,0.1221,0.1059
1657069200.0,0.2654,0.2724,0.2485,0.0711,0.2654,0.2534,0.1295,0.0871,0.1004,0.1064,0.1222,0.1064
1657072800.0,0.2654,0.2754,0.2485,0.0712,0.2654,0.2534,0.1300,0.0874,0.1005,0.1066,0.1225,0.1069
1657076400.0,0.2654,0.2739,0.2485,0.0713,0.2654,0.2522,0.1306,0.0877,0.1006,0.1069,0.1229,0.1074
1657080000.0,0.2654,0.2739,0.2485,0.0713,0.2638,0.2522,0.1310,0.0879,0.1006,0.1071,0.1232,0.1078
1657083600.0,0.2654,0.2754,0.2485,0.0714,0.2638,0.2522,0.1316,0.0882,0.1007,0.1073,0.1235,0.1082
1657087200.0,0.2654,0.2754,0.2485,0.0713,0.2638,0.2522,0.1319,0.0884,0.1007,0.1074,0.1239,0.1085
1657090800.0,0.2638,0.2739,0.2475,0.0713,0.2638,0.2509,0.1325,0.0885,0.1007,0.1075,0.1241,0.1086
1657094400.0,0.2638,0.2739,0.2475,0.0712,0.2625,0.2509,0.1326,0.0884,0.1006,0.1074,0.1242,0.1086
1657098000.0,0.2625,0.2724,0.2475,0.0709,0.2625,0.2509,0.1326,0.0882,0.1005,0.1073,0.1241,0.1085
1657101600.0,0.2625,0.2724,0.2475,0.0706,0.2625,0.2498,0.1325,0.0877,0.1003,0.1066,0.1238,0.1078
1657105200.0,0.2681,0.2709,0.2475,0.0702,0.2638,0.2545,0.1319,0.0870,0.0999,0.1056,0.1229,0.1069
1657108800.0,0.2681,0.2724,0.2475,0.0699,0.2667,0.2545,0.1314,0.0864,0.0993,0.1046,0.1221,0.1059
1657112400.0,0.2667,0.2739,0.2475,0.0697,0.2681,0.2545,0.1308,0.0858,0.0985,0.1036,0.1211,0.1050
1657116000.0,0.2654,0.2724,0.2475,0.0696,0.2695,0.2545,0.1306,0.0856,0.0980,0.1030,0.1203,0.1044
1657119600.0,0.2654,0.2739,0.2475,0.0696,0.2695,0.2545,0.1304,0.0857,0.0977,0.1026,0.1195,0.1042
1657123200.0,0.2638,0.2739,0.2475,0.0697,0.2695,0.2545,0.1303,0.0858,0.0975,0.1025,0.1190,0.1042
1657126800.0,0.2638,0.2754,0.2485,0.0698,0.2695,0.2545,0.1304,0.0860,0.0974,0.1026,0.1187,0.1043
1657130400.0,0.2638,0.2754,0.2485,0.0699,0.2681,0.2545,0.1306,0.0861,0.0974,0.1027,0.1184,0.1045
1657134000.0,0.2654,0.2754,0.2485,0.0701,0.2695,0.2559,0.1310,0.0864,0.0974,0.1029,0.1183,0.1047
1657137600.0,0.2654,0.2754,0.2498,0.0702,0.2695,0.2571,0.1315,0.0867,0.0975,0.1031,0.1183,0.1050
1657141200.0,0.2654,0.2769,0.2498,0.0704,0.2695,0.2571,0.1319,0.0870,0.0977,0.1034,0.1184,0.1055
1657144800.0,0.2654,0.2769,0.2498,0.0705,0.2695,0.2571,0.1325,0.0872,0.0978,0.1037,0.1187,0.1059
1657148400.0,0.2654,0.2769,0.2498,0.0706,0.2695,0.2571,0.1330,0.0875,0.0980,0.1040,0.1190,0.1063
1657152000.0,0.2654,0.2769,0.2498,0.0708,0.2695,0.2571,0.1336,0.0877,0.0981,0.1043,0.1191,0.1067
1657155600.0,0.2654,0.2769,0.2498,0.0708,0.2695,0.2571,0.1341,0.0880,0.0983,0.1046,0.1194,0.1071
1657159200.0,0.2654,0.2769,0.2498,0.0709,0.2695,0.2571,0.1346,0.0882,0.0984,0.1049,0.1198,0.1075
1657162800.0,0.2654,0.2769,0.2498,0.0709,0.2695,0.2534,0.1353,0.0884,0.0986,0.1053,0.1201,0.1079
1657166400.0,0.2654,0.2769,0.2509,0.0709,0.2695,0.2522,0.1358,0.0886,0.0987,0.1056,0.1204,0.1083
1657170000.0,0.2654,0.2769,0.2509,0.0708,0.2695,0.2509,0.1362,0.0888,0.0988,0.1058,0.1206,0.1085
1657173600.0,0.2654,0.2754,0.2509,0.0707,0.2681,0.2485,0.1367,0.0889,0.0988,0.1061,0.1209,0.1088
1657177200.0,0.2638,0.2754,0.2498,0.0706,0.2681,0.2485,0.1372,0.0889,0.0988,0.1062,0.1211,0.1088
1657180800.0,0.2638,0.2739,0.2498,0.0704,0.2681,0.2475,0.1374,0.0887,0.0988,0.1062,0.1213,0.1088
