timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1657062000,-22.767,-20.754,-26.792,-812.490,-22.767,-25.546,-138.122,-421.806,-272.832,-233.706,-159.279,-236.697
1657065600,-22.767,-20.754,-26.792,-805.684,-22.767,-25.546,-137.082,-417.467,-272.088,-232.210,-158.619,-233.706
1657069200,-22.767,-21.329,-26.792,-800.911,-22.767,-25.546,-135.663,-413.445,-271.715,-230.713,-158.242,-230.713
1657072800,-22.767,-20.754,-26.792,-796.092,-22.767,-25.546,-134.291,-409.467,-271.343,-229.591,-157.204,-228.048
1657076400,-22.767,-21.041,-26.792,-792.486,-22.767,-25.834,-132.871,-405.441,-270.599,-228.048,-155.836,-225.053
1657080000,-22.767,-21.041,-26.792,-790.878,-23.102,-25.834,-131.830,-402.146,-270.226,-226.925,-154.797,-222.807
1657083600,-22.767,-20.754,-26.792,-788.879,-23.102,-25.834,-130.079,-398.895,-269.854,-225.802,-153.759,-220.560
1657087200,-22.767,-20.754,-26.792,-790.096,-23.102,-25.834,-129.417,-396.330,-269.482,-225.053,-152.721,-218.874
1657090800,-23.102,-21.041,-27.080,-792.877,-23.102,-26.169,-127.997,-394.864,-269.854,-224.304,-152.013,-217.890
1657094400,-23.102,-21.041,-27.080,-797.308,-23.390,-26.169,-127.665,-395.230,-270.599,-224.679,-151.682,-217.890
1657098000,-23.390,-21.329,-27.080,-806.464,-23.390,-26.169,-127.665,-398.162,-271.343,-225.802,-152.013,-218.874
1657101600,-23.390,-21.329,-27.080,-819.636,-23.390,-26.457,-127.997,-405.441,-272.832,-229.965,-153.051,-222.432
1657105200,-22.192,-21.616,-27.080,-835.590,-23.102,-25.259,-129.417,-416.004,-275.809,-235.949,-155.836,-228.048
1657108800,-22.192,-21.329,-27.080,-849.871,-22.479,-25.259,-130.789,-423.997,-280.969,-242.349,-158.619,-234.080
1657112400,-22.479,-21.041,-27.080,-858.615,-22.192,-25.259,-132.209,-433.806,-287.241,-248.697,-162.062,-239.734
1657116000,-22.767,-21.329,-27.080,-860.595,-21.904,-25.259,-132.871,-435.995,-291.698,-253.176,-165.220,-243.470
1657119600,-22.767,-21.041,-27.080,-859.002,-21.904,-25.259,-133.250,-435.265,-294.297,-255.787,-167.954,-244.964
1657123200,-23.102,-21.041,-27.080,-855.429,-21.904,-25.259,-133.581,-433.077,-296.107,-256.160,-170.074,-244.964
1657126800,-23.102,-20.754,-26.792,-851.078,-21.904,-25.259,-133.250,-430.523,-297.220,-255.787,-171.110,-244.217
1657130400,-23.102,-20.754,-26.792,-846.681,-22.192,-25.259,-132.871,-428.379,-297.220,-255.414,-172.146,-243.096
1657134000,-22.767,-20.754,-26.792,-840.728,-21.904,-24.923,-131.830,-424.363,-296.478,-253.922,-172.476,-241.602
1657137600,-22.767,-20.754,-26.457,-833.992,-21.904,-24.636,-130.458,-420.025,-295.736,-252.429,-172.476,-239.734
1657141200,-22.767,-20.466,-26.457,-827.596,-21.904,-24.636,-129.417,-416.004,-294.668,-250.190,-172.146,-236.697
1657144800,-22.767,-20.466,-26.457,-822.059,-21.904,-24.636,-127.997,-411.982,-293.184,-248.324,-171.110,-234.080
1657148400,-22.767,-20.466,-26.457,-817.254,-21.904,-24.636,-126.623,-408.369,-292.070,-246.084,-170.074,-231.462
1657152000,-22.767,-20.466,-26.457,-812.490,-21.904,-24.636,-125.203,-404.709,-290.584,-244.217,-169.367,-229.217
1657155600,-22.767,-20.466,-26.457,-810.063,-21.904,-24.636,-123.829,-401.047,-289.470,-241.976,-168.331,-226.550
1657159200,-22.767,-20.466,-26.457,-808.892,-21.904,-24.636,-122.787,-397.796,-287.984,-240.107,-166.917,-224.304
1657162800,-22.767,-20.466,-26.457,-808.069,-21.904,-25.546,-121.034,-395.230,-286.870,-237.818,-165.880,-222.058
1657166400,-22.767,-20.466,-26.169,-808.459,-21.904,-25.834,-119.992,-392.297,-285.755,-235.949,-164.843,-219.857
1657170000,-22.767,-20.466,-26.169,-809.673,-21.904,-26.169,-118.949,-390.510,-285.058,-234.454,-163.806,-218.546
1657173600,-22.767,-20.754,-26.169,-814.050,-22.192,-26.792,-117.906,-389.409,-284.687,-232.958,-162.769,-217.235
1657177200,-23.102,-20.754,-26.457,-819.246,-22.192,-26.792,-116.864,-389.409,-284.687,-232.210,-162.062,-216.907
1657180800,-23.102,-21.041,-26.457,-827.596,-22.192,-27.080,-116.484,-391.243,-285.058,-232.210,-161.402,-217.235
1657184400,-23.390,-21.041,-26.457,-837.145,-22.192,-27.080,-116.484,-395.597,-286.498,-234.080,-162.439,-219.529
1657188000,-23.390,-21.041,-26.457,-849.871,-22.479,-27.367,-116.864,-403.611,-289.099,-238.239,-164.136,-223.930
1657191600,-22.767,-21.041,-26.457,-864.553,-22.192,-26.457,-117.527,-414.542,-293.555,-245.711,-167.294,-229.965
1657195200,-22.767,-21.329,-26.792,-875.640,-21.904,-26.457,-118.949,-425.093,-299.446,-253.922,-170.733,-236.323
1657198800,-22.767,-21.329,-26.792,-882.722,-21.904,-26.457,-119.992,-432.712,-305.333,-260.587,-174.548,-242.349
1657202400,-23.102,-21.329,-26.457,-888.253,-22.192,-25.834,-120.703,-437.453,-309.780,-264.314,-178.031,-246.878
1657206000,-23.102,-21.329,-26.457,-891.810,-21.904,-25.834,-121.745,-440.324,-313.484,-264.314,-181.842,-250.937
1657209600,-23.102,-21.329,-26.457,-893.395,-21.904,-26.169,-122.077,-442.146,-316.400,-260.215,-185.651,-253.922
1657213200,-23.102,-21.329,-26.169,-893.010,-21.904,-26.457,-122.408,-441.781,-319.361,-255.041,-189.083,-255.787
1657216800,-23.102,-21.041,-26.169,-889.068,-21.904,-26.792,-122.408,-440.324,-321.581,-249.071,-192.231,-256.533
1657220400,-23.102,-21.041,-26.169,-882.722,-21.616,-26.792,-121.745,-437.088,-322.691,-242.349,-194.298,-255.787
