timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1657148400,0.3665,0.3161,0.2101,0.0722,0.2767,0.2331,0.1409,0.0856,0.1191,0.1190,0.1188,0.1041
1657152000,0.3607,0.3157,0.2139,0.0724,0.2787,0.2361,0.1394,0.0858,0.1191,0.1198,0.1194,0.1046
1657155600,0.3556,0.3146,0.2156,0.0725,0.2798,0.2381,0.1397,0.0861,0.1196,0.1205,0.1195,0.1051
1657159200,0.3511,0.3133,0.2169,0.0727,0.2806,0.2399,0.1402,0.0863,0.1200,0.1210,0.1198,0.1055
1657162800,0.3471,0.3120,0.2181,0.0727,0.2809,0.2412,0.1406,0.0866,0.1204,0.1213,0.1201,0.1059
1657166400,0.3436,0.3107,0.2192,0.0728,0.2810,0.2426,0.1410,0.0868,0.1209,0.1217,0.1204,0.1063
1657170000,0.3402,0.3092,0.2200,0.0728,0.2809,0.2438,0.1415,0.0870,0.1213,0.1221,0.1206,0.1067
1657173600,0.3369,0.3075,0.2204,0.0728,0.2804,0.2446,0.1417,0.0872,0.1217,0.1224,0.1209,0.1069
1657177200,0.3336,0.3053,0.2197,0.0727,0.2793,0.2444,0.1416,0.0872,0.1218,0.1224,0.1210,0.1071
1657180800,0.3303,0.3033,0.2197,0.0726,0.2782,0.2446,0.1419,0.0872,0.1221,0.1226,0.1211,0.1071
1657184400,0.3268,0.3008,0.2188,0.0724,0.2768,0.2442,0.1417,0.0870,0.1222,0.1226,0.1209,0.1069
1657188000,0.3277,0.2981,0.2178,0.0721,0.2749,0.2433,0.1415,0.0865,0.1222,0.1220,0.1206,0.1063
1657191600,0.3660,0.2962,0.2175,0.0718,0.2739,0.2443,0.1424,0.0858,0.1224,0.1225,0.1199,0.1054
1657195200,0.4004,0.2948,0.2157,0.0716,0.2720,0.2435,0.1416,0.0852,0.1219,0.1219,0.1190,0.1044
1657198800,0.4174,0.2960,0.2132,0.0714,0.2702,0.2422,0.1406,0.0846,0.1213,0.1212,0.1180,0.1035
1657202400,0.4225,0.3006,0.2109,0.0713,0.2695,0.2410,0.1397,0.0844,0.1209,0.1207,0.1171,0.1029
1657206000,0.4249,0.3071,0.2093,0.0714,0.2700,0.2401,0.1391,0.0843,0.1208,0.1206,0.1163,0.1026
1657209600,0.4256,0.3134,0.2088,0.0715,0.2719,0.2399,0.1391,0.0844,0.1209,0.1208,0.1158,0.1026
1657213200,0.4249,0.3196,0.2092,0.0716,0.2748,0.2399,0.1394,0.0846,0.1212,0.1212,0.1155,0.1027
1657216800,0.4208,0.3247,0.2098,0.0717,0.2787,0.2405,0.1395,0.0847,0.1215,0.1214,0.1153,0.1028
1657220400,0.4263,0.3302,0.2107,0.0718,0.2830,0.2419,0.1398,0.0849,0.1221,0.1221,0.1151,0.1030
1657224000,0.4313,0.3473,0.2123,0.0719,0.2874,0.2436,0.1403,0.0852,0.1227,0.1226,0.1151,0.1033
1657227600,0.4173,0.3593,0.2139,0.0721,0.2920,0.2452,0.1404,0.0854,0.1232,0.1229,0.1152,0.1037
1657231200,0.4063,0.3617,0.2169,0.0721,0.2965,0.2472,0.1407,0.0856,0.1237,0.1230,0.1154,0.1041
1657234800,0.3975,0.3608,0.2218,0.0722,0.3001,0.2495,0.1409,0.0859,0.1242,0.1231,0.1156,0.1045
1657238400,0.3908,0.3586,0.2281,0.0723,0.3025,0.2524,0.1409,0.0861,0.1246,0.1231,0.1158,0.1049
1657242000,0.3849,0.3561,0.2344,0.0723,0.3041,0.2552,0.1410,0.0863,0.1250,0.1231,0.1160,0.1053
1657245600,0.3799,0.3536,0.2402,0.0723,0.3052,0.2580,0.1411,0.0865,0.1255,0.1230,0.1163,0.1056
1657249200,0.3750,0.3510,0.2454,0.0722,0.3055,0.2594,0.1405,0.0867,0.1255,0.1220,0.1165,0.1060
1657252800,0.3708,0.3486,0.2508,0.0722,0.3058,0.2615,0.1405,0.0869,0.1258,0.1215,0.1168,0.1063
1657256400,0.3670,0.3461,0.2543,0.0721,0.3054,0.2629,0.1403,0.0870,0.1259,0.1209,0.1170,0.1066
1657260000,0.3633,0.3435,0.2569,0.0720,0.3046,0.2636,0.1399,0.0871,0.1260,0.1203,0.1173,0.1068
1657263600,0.3598,0.3409,0.2583,0.0718,0.3038,0.2646,0.1400,0.0871,0.1261,0.1201,0.1174,0.1069
1657267200,0.3563,0.3384,0.2599,0.0716,0.3027,0.2650,0.1399,0.0870,0.1262,0.1196,0.1176,0.1068
1657270800,0.3530,0.3358,0.2610,0.0714,0.3015,0.2655,0.1402,0.0867,0.1262,0.1192,0.1174,0.1065
1657274400,0.3498,0.3334,0.2623,0.0712,0.3001,0.2657,0.1410,0.0862,0.1261,0.1184,0.1170,0.1058
