timestamp,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80
1657321200,-14.617,-16.841,-39.887,-750.599,-20.047,-26.640,-136.720,-478.913,-81.734,-128.711,-192.326,-266.912
1657324800,-14.729,-16.897,-38.259,-742.070,-20.028,-26.319,-135.749,-475.882,-79.401,-124.761,-190.670,-263.934
1657328400,-14.858,-16.996,-37.423,-737.956,-20.075,-26.176,-134.080,-472.318,-77.717,-122.454,-190.138,-261.039
1657332000,-14.988,-17.101,-36.741,-734.764,-20.134,-26.076,-132.498,-468.895,-76.274,-120.631,-189.321,-258.419
1657335600,-15.126,-17.222,-36.254,-732.656,-20.224,-26.047,-131.470,-465.267,-75.305,-119.904,-188.155,-255.584
1657339200,-15.252,-17.326,-35.778,-732.972,-20.293,-25.983,-129.910,-462.309,-74.149,-118.567,-187.266,-253.298
1657342800,-15.407,-17.470,-35.500,-732.115,-20.399,-25.984,-128.380,-459.560,-73.130,-117.279,-186.410,-251.169
1657346400,-15.637,-17.715,-35.724,-733.438,-20.596,-26.135,-127.578,-457.761,-72.328,-116.149,-185.710,-249.669
1657350000,-15.920,-18.037,-36.421,-737.133,-20.879,-26.443,-127.852,-457.142,-72.172,-116.336,-185.369,-248.901
1657353600,-16.223,-18.372,-36.914,-738.406,-21.158,-26.700,-126.413,-457.670,-71.496,-114.981,-185.187,-248.917
1657357200,-16.138,-18.784,-37.760,-744.018,-21.512,-27.072,-125.645,-461.094,-71.042,-113.962,-185.794,-250.130
1657360800,-11.415,-19.246,-38.846,-750.736,-21.930,-27.541,-125.195,-468.184,-71.019,-114.250,-187.261,-253.685
1657364400,-7.692,-19.507,-39.635,-758.587,-22.223,-27.761,-121.490,-478.160,-69.544,-110.077,-189.767,-259.192
1657368000,-6.087,-19.464,-40.942,-766.149,-22.618,-28.225,-121.580,-486.514,-69.405,-109.597,-193.041,-265.387
1657371600,-5.499,-18.754,-42.576,-771.821,-22.963,-28.790,-122.443,-496.851,-69.775,-109.874,-197.129,-271.427
1657375200,-5.270,-17.455,-44.062,-772.620,-23.046,-29.292,-123.166,-500.377,-69.880,-109.720,-200.750,-275.647
1657378800,-5.167,-16.062,-45.284,-771.492,-22.781,-29.718,-123.743,-501.088,-69.952,-109.389,-203.949,-277.619
