timestamp,z20_y0_x0,z20_y0_x5,z20_y0_x10,z20_y0_x15,z20_y0_x20,z20_y0_x25,z20_y0_x30,z20_y0_x35,z20_y0_x40,z20_y0_x45,z20_y0_x50,z20_y0_x55,z20_y0_x60,z20_y0_x65,z20_y0_x70,z20_y0_x75,z20_y0_x80,z20_y0_x85,z20_y0_x90,z20_y0_x95,z20_y0_x100,z25_y0_x0,z25_y0_x5,z25_y0_x10,z25_y0_x15,z25_y0_x20,z25_y0_x25,z25_y0_x30,z25_y0_x35,z25_y0_x40,z25_y0_x45,z25_y0_x50,z25_y0_x55,z25_y0_x60,z25_y0_x65,z25_y0_x70,z25_y0_x75,z25_y0_x80,z25_y0_x85,z25_y0_x90,z25_y0_x95,z25_y0_x100,z30_y0_x0,z30_y0_x5,z30_y0_x10,z30_y0_x15,z30_y0_x20,z30_y0_x25,z30_y0_x30,z30_y0_x35,z30_y0_x40,z30_y0_x45,z30_y0_x50,z30_y0_x55,z30_y0_x60,z30_y0_x65,z30_y0_x70,z30_y0_x75,z30_y0_x80,z30_y0_x85,z30_y0_x90,z30_y0_x95,z30_y0_x100,z35_y0_x0,z35_y0_x5,z35_y0_x10,z35_y0_x15,z35_y0_x20,z35_y0_x25,z35_y0_x30,z35_y0_x35,z35_y0_x40,z35_y0_x45,z35_y0_x50,z35_y0_x55,z35_y0_x60,z35_y0_x65,z35_y0_x70,z35_y0_x75,z35_y0_x80,z35_y0_x85,z35_y0_x90,z35_y0_x95,z35_y0_x100,z40_y0_x0,z40_y0_x5,z40_y0_x10,z40_y0_x15,z40_y0_x20,z40_y0_x25,z40_y0_x30,z40_y0_x35,z40_y0_x40,z40_y0_x45,z40_y0_x50,z40_y0_x55,z40_y0_x60,z40_y0_x65,z40_y0_x70,z40_y0_x75,z40_y0_x80,z40_y0_x85,z40_y0_x90,z40_y0_x95,z40_y0_x100,z45_y0_x0,z45_y0_x5,z45_y0_x10,z45_y0_x15,z45_y0_x20,z45_y0_x25,z45_y0_x30,z45_y0_x35,z45_y0_x40,z45_y0_x45,z45_y0_x50,z45_y0_x55,z45_y0_x60,z45_y0_x65,z45_y0_x70,z45_y0_x75,z45_y0_x80,z45_y0_x85,z45_y0_x90,z45_y0_x95,z45_y0_x100,z50_y0_x0,z50_y0_x5,z50_y0_x10,z50_y0_x15,z50_y0_x20,z50_y0_x25,z50_y0_x30,z50_y0_x35,z50_y0_x40,z50_y0_x45,z50_y0_x50,z50_y0_x55,z50_y0_x60,z50_y0_x65,z50_y0_x70,z50_y0_x75,z50_y0_x80,z50_y0_x85,z50_y0_x90,z50_y0_x95,z50_y0_x100,z55_y0_x0,z55_y0_x5,z55_y0_x10,z55_y0_x15,z55_y0_x20,z55_y0_x25,z55_y0_x30,z55_y0_x35,z55_y0_x40,z55_y0_x45,z55_y0_x50,z55_y0_x55,z55_y0_x60,z55_y0_x65,z55_y0_x70,z55_y0_x75,z55_y0_x80,z55_y0_x85,z55_y0_x90,z55_y0_x95,z55_y0_x100,z60_y0_x0,z60_y0_x5,z60_y0_x10,z60_y0_x15,z60_y0_x20,z60_y0_x25,z60_y0_x30,z60_y0_x35,z60_y0_x40,z60_y0_x45,z60_y0_x50,z60_y0_x55,z60_y0_x60,z60_y0_x65,z60_y0_x70,z60_y0_x75,z60_y0_x80,z60_y0_x85,z60_y0_x90,z60_y0_x95,z60_y0_x100
1657076400.0,0.3206,0.3221,0.3235,0.3250,0.3265,0.3281,0.2685,0.2389,0.2200,0.2065,0.1962,0.1665,0.1507,0.1404,0.1329,0.1271,0.1225,0.1225,0.1225,0.1225,0.1225,0.3206,0.3211,0.3216,0.3221,0.3227,0.3232,0.2766,0.2501,0.2322,0.2190,0.2087,0.1744,0.1569,0.1457,0.1377,0.1315,0.1265,0.1265,0.1265,0.1265,0.1265,0.3205,0.3201,0.3197,0.3194,0.3190,0.3187,0.2859,0.2642,0.2483,0.2361,0.2262,0.1845,0.1647,0.1523,0.1435,0.1368,0.1314,0.1314,0.1314,0.1314,0.1314,0.3204,0.3192,0.3179,0.3167,0.3155,0.3144,0.2967,0.2827,0.2712,0.2616,0.2533,0.1983,0.1748,0.1606,0.1507,0.1433,0.1375,0.1375,0.1375,0.1375,0.1375,0.3203,0.3182,0.3162,0.3142,0.3122,0.3103,0.3096,0.3089,0.3082,0.3075,0.3068,0.2188,0.1888,0.1718,0.1604,0.1519,0.1453,0.1453,0.1453,0.1453,0.1453,0.2225,0.2238,0.2250,0.2264,0.2277,0.2291,0.2321,0.2353,0.2387,0.2423,0.2462,0.2072,0.1866,0.1732,0.1635,0.1559,0.1499,0.1499,0.1499,0.1499,0.1499,0.1910,0.1925,0.1940,0.1955,0.1971,0.1988,0.2020,0.2055,0.2092,0.2133,0.2179,0.1980,0.1846,0.1747,0.1669,0.1605,0.1552,0.1552,0.1552,0.1552,0.1552,0.1735,0.1749,0.1764,0.1780,0.1796,0.1813,0.1844,0.1878,0.1915,0.1957,0.2002,0.1905,0.1827,0.1762,0.1707,0.1659,0.1618,0.1618,0.1618,0.1618,0.1618,0.1617,0.1631,0.1646,0.1661,0.1677,0.1693,0.1723,0.1756,0.1793,0.1833,0.1878,0.1842,0.1808,0.1778,0.1749,0.1723,0.1699,0.1699,0.1699,0.1699,0.1699
1657080000.0,0.3206,0.3221,0.3235,0.3250,0.3265,0.3281,0.2690,0.2394,0.2205,0.2071,0.1967,0.1667,0.1509,0.1406,0.1330,0.1272,0.1226,0.1226,0.1226,0.1226,0.1226,0.3203,0.3209,0.3214,0.3220,0.3225,0.3231,0.2769,0.2505,0.2327,0.2195,0.2092,0.1747,0.1571,0.1459,0.1378,0.1316,0.1267,0.1267,0.1267,0.1267,0.1267,0.3200,0.3197,0.3194,0.3190,0.3187,0.3184,0.2860,0.2645,0.2488,0.2365,0.2267,0.1848,0.1649,0.1525,0.1437,0.1369,0.1316,0.1316,0.1316,0.1316,0.1316,0.3197,0.3185,0.3174,0.3162,0.3151,0.3140,0.2967,0.2829,0.2715,0.2620,0.2538,0.1986,0.1751,0.1609,0.1510,0.1436,0.1377,0.1377,0.1377,0.1377,0.1377,0.3194,0.3174,0.3154,0.3135,0.3117,0.3099,0.3092,0.3086,0.3080,0.3074,0.3068,0.2192,0.1892,0.1722,0.1607,0.1523,0.1456,0.1456,0.1456,0.1456,0.1456,0.2224,0.2237,0.2251,0.2264,0.2278,0.2293,0.2323,0.2355,0.2389,0.2426,0.2465,0.2076,0.1870,0.1736,0.1638,0.1563,0.1502,0.1502,0.1502,0.1502,0.1502,0.1911,0.1925,0.1941,0.1957,0.1973,0.1990,0.2023,0.2057,0.2095,0.2136,0.2182,0.1984,0.1850,0.1751,0.1673,0.1609,0.1556,0.1556,0.1556,0.1556,0.1556,0.1735,0.1750,0.1765,0.1781,0.1798,0.1815,0.1847,0.1881,0.1918,0.1960,0.2006,0.1909,0.1831,0.1766,0.1711,0.1664,0.1622,0.1622,0.1622,0.1622,0.1622,0.1618,0.1632,0.1647,0.1662,0.1679,0.1696,0.1726,0.1759,0.1796,0.1836,0.1881,0.1845,0.1812,0.1782,0.1754,0.1728,0.1704,0.1704,0.1704,0.1704,0.1704
1657083600.0,0.3206,0.3219,0.3233,0.3247,0.3260,0.3275,0.2693,0.2399,0.2211,0.2076,0.1973,0.1670,0.1511,0.1407,0.1331,0.1273,0.1226,0.1226,0.1226,0.1226,0.1226,0.3203,0.3208,0.3212,0.3217,0.3222,0.3227,0.2772,0.2510,0.2333,0.2201,0.2098,0.1749,0.1573,0.1460,0.1379,0.1317,0.1267,0.1267,0.1267,0.1267,0.1267,0.3200,0.3196,0.3193,0.3189,0.3185,0.3181,0.2862,0.2649,0.2493,0.2371,0.2272,0.1851,0.1651,0.1527,0.1438,0.1371,0.1317,0.1317,0.1317,0.1317,0.1317,0.3197,0.3185,0.3173,0.3162,0.3150,0.3139,0.2968,0.2831,0.2719,0.2624,0.2542,0.1989,0.1753,0.1611,0.1512,0.1438,0.1379,0.1379,0.1379,0.1379,0.1379,0.3194,0.3174,0.3154,0.3135,0.3117,0.3099,0.3092,0.3086,0.3080,0.3074,0.3068,0.2196,0.1895,0.1725,0.1610,0.1526,0.1459,0.1459,0.1459,0.1459,0.1459,0.2225,0.2238,0.2252,0.2266,0.2280,0.2295,0.2326,0.2358,0.2392,0.2428,0.2468,0.2080,0.1874,0.1740,0.1642,0.1566,0.1505,0.1505,0.1505,0.1505,0.1505,0.1911,0.1926,0.1942,0.1958,0.1975,0.1993,0.2025,0.2060,0.2098,0.2139,0.2185,0.1988,0.1854,0.1754,0.1676,0.1613,0.1560,0.1560,0.1560,0.1560,0.1560,0.1736,0.1751,0.1766,0.1783,0.1800,0.1818,0.1849,0.1883,0.1921,0.1963,0.2009,0.1912,0.1835,0.1770,0.1715,0.1668,0.1626,0.1626,0.1626,0.1626,0.1626,0.1619,0.1633,0.1648,0.1664,0.1681,0.1698,0.1728,0.1762,0.1798,0.1839,0.1885,0.1849,0.1816,0.1786,0.1758,0.1733,0.1709,0.1709,0.1709,0.1709,0.1709
1657087200.0,0.3200,0.3216,0.3232,0.3249,0.3266,0.3284,0.2700,0.2405,0.2216,0.2081,0.1978,0.1672,0.1511,0.1407,0.1331,0.1273,0.1226,0.1226,0.1226,0.1226,0.1226,0.3198,0.3205,0.3212,0.3219,0.3226,0.3233,0.2778,0.2516,0.2338,0.2206,0.2103,0.1751,0.1574,0.1461,0.1380,0.1317,0.1267,0.1267,0.1267,0.1267,0.1267,0.3197,0.3195,0.3192,0.3190,0.3188,0.3185,0.2867,0.2654,0.2497,0.2376,0.2277,0.1853,0.1653,0.1527,0.1439,0.1371,0.1318,0.1318,0.1318,0.1318,0.1318,0.3195,0.3184,0.3173,0.3162,0.3151,0.3141,0.2970,0.2834,0.2722,0.2628,0.2546,0.1992,0.1755,0.1613,0.1514,0.1439,0.1380,0.1380,0.1380,0.1380,0.1380,0.3194,0.3174,0.3154,0.3135,0.3117,0.3099,0.3092,0.3086,0.3080,0.3074,0.3068,0.2199,0.1898,0.1728,0.1613,0.1528,0.1462,0.1462,0.1462,0.1462,0.1462,0.2225,0.2239,0.2253,0.2267,0.2282,0.2297,0.2328,0.2360,0.2395,0.2432,0.2471,0.2083,0.1877,0.1743,0.1645,0.1569,0.1508,0.1508,0.1508,0.1508,0.1508,0.1911,0.1927,0.1943,0.1959,0.1977,0.1995,0.2028,0.2063,0.2101,0.2143,0.2189,0.1992,0.1857,0.1758,0.1680,0.1616,0.1563,0.1563,0.1563,0.1563,0.1563,0.1736,0.1751,0.1767,0.1784,0.1801,0.1820,0.1851,0.1886,0.1924,0.1966,0.2013,0.1916,0.1838,0.1774,0.1719,0.1671,0.1629,0.1629,0.1629,0.1629,0.1629,0.1619,0.1634,0.1649,0.1665,0.1682,0.1700,0.1731,0.1764,0.1801,0.1843,0.1889,0.1853,0.1820,0.1790,0.1762,0.1736,0.1712,0.1712,0.1712,0.1712,0.1712
1657090800.0,0.3194,0.3210,0.3226,0.3243,0.3260,0.3278,0.2702,0.2409,0.2221,0.2087,0.1983,0.1673,0.1511,0.1406,0.1331,0.1272,0.1225,0.1225,0.1225,0.1225,0.1225,0.3193,0.3200,0.3206,0.3213,0.3219,0.3226,0.2779,0.2519,0.2342,0.2211,0.2108,0.1752,0.1574,0.1461,0.1379,0.1317,0.1267,0.1267,0.1267,0.1267,0.1267,0.3192,0.3190,0.3187,0.3184,0.3181,0.3178,0.2866,0.2655,0.2500,0.2379,0.2281,0.1854,0.1653,0.1528,0.1439,0.1371,0.1317,0.1317,0.1317,0.1317,0.1317,0.3192,0.3180,0.3168,0.3156,0.3144,0.3133,0.2966,0.2833,0.2722,0.2629,0.2548,0.1993,0.1756,0.1613,0.1514,0.1440,0.1381,0.1381,0.1381,0.1381,0.1381,0.3191,0.3170,0.3149,0.3129,0.3110,0.3091,0.3085,0.3079,0.3073,0.3067,0.3061,0.2200,0.1900,0.1730,0.1615,0.1530,0.1463,0.1463,0.1463,0.1463,0.1463,0.2225,0.2238,0.2252,0.2267,0.2282,0.2297,0.2327,0.2360,0.2394,0.2432,0.2471,0.2085,0.1879,0.1744,0.1647,0.1571,0.1510,0.1510,0.1510,0.1510,0.1510,0.1911,0.1927,0.1943,0.1960,0.1977,0.1996,0.2028,0.2064,0.2102,0.2144,0.2191,0.1993,0.1859,0.1760,0.1682,0.1618,0.1565,0.1565,0.1565,0.1565,0.1565,0.1736,0.1751,0.1767,0.1784,0.1802,0.1821,0.1853,0.1887,0.1926,0.1968,0.2015,0.1919,0.1841,0.1776,0.1721,0.1673,0.1631,0.1631,0.1631,0.1631,0.1631,0.1619,0.1634,0.1649,0.1666,0.1683,0.1701,0.1732,0.1766,0.1803,0.1845,0.1891,0.1855,0.1823,0.1793,0.1765,0.1739,0.1715,0.1715,0.1715,0.1715,0.1715
1657094400.0,0.3194,0.3209,0.3225,0.3241,0.3258,0.3275,0.2703,0.2411,0.2224,0.2089,0.1986,0.1672,0.1510,0.1405,0.1329,0.1270,0.1223,0.1223,0.1223,0.1223,0.1223,0.3191,0.3197,0.3204,0.3210,0.3217,0.3223,0.2779,0.2520,0.2344,0.2213,0.2111,0.1752,0.1573,0.1459,0.1378,0.1315,0.1265,0.1265,0.1265,0.1265,0.1265,0.3188,0.3186,0.3183,0.3181,0.3178,0.3175,0.2865,0.2656,0.2502,0.2381,0.2283,0.1854,0.1652,0.1526,0.1437,0.1370,0.1316,0.1316,0.1316,0.1316,0.1316,0.3186,0.3174,0.3163,0.3152,0.3141,0.3130,0.2965,0.2832,0.2723,0.2630,0.2549,0.1992,0.1755,0.1612,0.1513,0.1439,0.1380,0.1380,0.1380,0.1380,0.1380,0.3183,0.3163,0.3144,0.3124,0.3106,0.3088,0.3082,0.3076,0.3071,0.3065,0.3059,0.2199,0.1900,0.1730,0.1615,0.1530,0.1463,0.1463,0.1463,0.1463,0.1463,0.2223,0.2236,0.2251,0.2265,0.2280,0.2296,0.2327,0.2360,0.2395,0.2432,0.2472,0.2085,0.1879,0.1745,0.1647,0.1571,0.1510,0.1510,0.1510,0.1510,0.1510,0.1910,0.1926,0.1942,0.1959,0.1977,0.1995,0.2028,0.2064,0.2103,0.2145,0.2192,0.1995,0.1860,0.1760,0.1682,0.1618,0.1565,0.1565,0.1565,0.1565,0.1565,0.1735,0.1751,0.1767,0.1784,0.1801,0.1820,0.1852,0.1888,0.1927,0.1969,0.2017,0.1920,0.1842,0.1777,0.1721,0.1674,0.1632,0.1632,0.1632,0.1632,0.1632,0.1618,0.1633,0.1649,0.1665,0.1682,0.1701,0.1732,0.1766,0.1804,0.1846,0.1893,0.1857,0.1824,0.1794,0.1766,0.1740,0.1715,0.1715,0.1715,0.1715,0.1715
1657098000.0,0.3183,0.3199,0.3216,0.3233,0.3251,0.3269,0.2702,0.2411,0.2224,0.2089,0.1986,0.1670,0.1507,0.1402,0.1326,0.1267,0.1220,0.1220,0.1220,0.1220,0.1220,0.3183,0.3190,0.3197,0.3205,0.3212,0.3219,0.2778,0.2520,0.2344,0.2213,0.2111,0.1749,0.1570,0.1456,0.1374,0.1312,0.1262,0.1262,0.1262,0.1262,0.1262,0.3183,0.3181,0.3179,0.3177,0.3175,0.3173,0.2864,0.2656,0.2502,0.2381,0.2284,0.1851,0.1649,0.1523,0.1434,0.1367,0.1313,0.1313,0.1313,0.1313,0.1313,0.3183,0.3172,0.3161,0.3150,0.3140,0.3129,0.2964,0.2832,0.2723,0.2630,0.2550,0.1989,0.1752,0.1609,0.1510,0.1436,0.1377,0.1377,0.1377,0.1377,0.1377,0.3183,0.3163,0.3144,0.3124,0.3106,0.3088,0.3082,0.3076,0.3071,0.3065,0.3059,0.2196,0.1897,0.1727,0.1612,0.1527,0.1461,0.1461,0.1461,0.1461,0.1461,0.2221,0.2235,0.2249,0.2264,0.2278,0.2294,0.2325,0.2358,0.2393,0.2431,0.2472,0.2083,0.1877,0.1742,0.1644,0.1569,0.1508,0.1508,0.1508,0.1508,0.1508,0.1909,0.1924,0.1940,0.1957,0.1975,0.1993,0.2026,0.2062,0.2101,0.2144,0.2192,0.1993,0.1858,0.1758,0.1680,0.1616,0.1563,0.1563,0.1563,0.1563,0.1563,0.1734,0.1749,0.1765,0.1782,0.1799,0.1818,0.1850,0.1886,0.1925,0.1968,0.2017,0.1919,0.1840,0.1775,0.1719,0.1671,0.1629,0.1629,0.1629,0.1629,0.1629,0.1617,0.1632,0.1647,0.1663,0.1681,0.1699,0.1730,0.1764,0.1802,0.1845,0.1892,0.1856,0.1823,0.1792,0.1764,0.1738,0.1713,0.1713,0.1713,0.1713,0.1713
1657101600.0,0.3186,0.3201,0.3216,0.3231,0.3247,0.3263,0.2698,0.2408,0.2221,0.2087,0.1984,0.1665,0.1502,0.1396,0.1321,0.1262,0.1215,0.1215,0.1215,0.1215,0.1215,0.3184,0.3190,0.3196,0.3201,0.3207,0.3213,0.2774,0.2517,0.2342,0.2211,0.2109,0.1744,0.1564,0.1450,0.1369,0.1307,0.1257,0.1257,0.1257,0.1257,0.1257,0.3182,0.3179,0.3176,0.3173,0.3170,0.3167,0.2860,0.2653,0.2499,0.2379,0.2282,0.1845,0.1642,0.1517,0.1428,0.1361,0.1307,0.1307,0.1307,0.1307,0.1307,0.3181,0.3169,0.3157,0.3146,0.3134,0.3123,0.2960,0.2829,0.2720,0.2628,0.2548,0.1982,0.1745,0.1602,0.1503,0.1429,0.1370,0.1370,0.1370,0.1370,0.1370,0.3179,0.3159,0.3139,0.3119,0.3100,0.3082,0.3077,0.3073,0.3068,0.3064,0.3059,0.2187,0.1888,0.1718,0.1604,0.1519,0.1453,0.1453,0.1453,0.1453,0.1453,0.2218,0.2231,0.2244,0.2257,0.2271,0.2285,0.2317,0.2351,0.2387,0.2426,0.2469,0.2076,0.1869,0.1734,0.1636,0.1561,0.1500,0.1500,0.1500,0.1500,0.1500,0.1906,0.1920,0.1935,0.1951,0.1967,0.1984,0.2018,0.2055,0.2095,0.2139,0.2188,0.1987,0.1851,0.1751,0.1672,0.1608,0.1555,0.1555,0.1555,0.1555,0.1555,0.1731,0.1746,0.1761,0.1777,0.1793,0.1810,0.1843,0.1879,0.1919,0.1963,0.2013,0.1914,0.1834,0.1768,0.1712,0.1664,0.1622,0.1622,0.1622,0.1622,0.1622,0.1615,0.1629,0.1643,0.1658,0.1674,0.1691,0.1723,0.1758,0.1797,0.1840,0.1889,0.1851,0.1818,0.1786,0.1758,0.1731,0.1706,0.1706,0.1706,0.1706,0.1706
1657105200.0,0.3228,0.3235,0.3241,0.3247,0.3253,0.3260,0.2692,0.2402,0.2216,0.2082,0.1979,0.1658,0.1495,0.1390,0.1314,0.1256,0.1210,0.1210,0.1210,0.1210,0.1210,0.3219,0.3220,0.3220,0.3221,0.3221,0.3222,0.2773,0.2514,0.2337,0.2206,0.2103,0.1737,0.1557,0.1444,0.1362,0.1300,0.1251,0.1251,0.1251,0.1251,0.1251,0.3210,0.3205,0.3200,0.3195,0.3190,0.3185,0.2867,0.2653,0.2497,0.2375,0.2276,0.1837,0.1635,0.1509,0.1421,0.1354,0.1301,0.1301,0.1301,0.1301,0.1301,0.3201,0.3190,0.3180,0.3170,0.3160,0.3151,0.2976,0.2837,0.2722,0.2626,0.2544,0.1974,0.1736,0.1594,0.1495,0.1422,0.1363,0.1363,0.1363,0.1363,0.1363,0.3192,0.3176,0.3161,0.3146,0.3132,0.3118,0.3106,0.3094,0.3082,0.3071,0.3059,0.2177,0.1878,0.1709,0.1595,0.1511,0.1445,0.1445,0.1445,0.1445,0.1445,0.2215,0.2227,0.2240,0.2253,0.2267,0.2280,0.2312,0.2345,0.2381,0.2420,0.2462,0.2066,0.1859,0.1724,0.1627,0.1552,0.1491,0.1491,0.1491,0.1491,0.1491,0.1902,0.1915,0.1929,0.1944,0.1959,0.1975,0.2009,0.2046,0.2086,0.2131,0.2180,0.1978,0.1841,0.1741,0.1663,0.1599,0.1546,0.1546,0.1546,0.1546,0.1546,0.1727,0.1740,0.1754,0.1769,0.1784,0.1799,0.1833,0.1869,0.1910,0.1954,0.2005,0.1905,0.1825,0.1758,0.1703,0.1654,0.1612,0.1612,0.1612,0.1612,0.1612,0.1610,0.1623,0.1637,0.1651,0.1665,0.1680,0.1712,0.1748,0.1787,0.1831,0.1881,0.1843,0.1808,0.1777,0.1748,0.1721,0.1696,0.1696,0.1696,0.1696,0.1696
1657108800.0,0.3228,0.3235,0.3242,0.3249,0.3256,0.3263,0.2689,0.2397,0.2210,0.2076,0.1973,0.1652,0.1489,0.1384,0.1309,0.1251,0.1205,0.1205,0.1205,0.1205,0.1205,0.3227,0.3226,0.3225,0.3225,0.3224,0.3224,0.2770,0.2509,0.2332,0.2200,0.2098,0.1730,0.1551,0.1437,0.1356,0.1295,0.1245,0.1245,0.1245,0.1245,0.1245,0.3225,0.3217,0.3209,0.3202,0.3194,0.3187,0.2864,0.2649,0.2492,0.2370,0.2271,0.1830,0.1627,0.1502,0.1414,0.1347,0.1294,0.1294,0.1294,0.1294,0.1294,0.3223,0.3208,0.3193,0.3179,0.3165,0.3151,0.2974,0.2834,0.2719,0.2622,0.2539,0.1965,0.1727,0.1585,0.1487,0.1414,0.1356,0.1356,0.1356,0.1356,0.1356,0.3221,0.3199,0.3178,0.3157,0.3137,0.3118,0.3106,0.3094,0.3082,0.3071,0.3059,0.2166,0.1867,0.1698,0.1585,0.1501,0.1436,0.1436,0.1436,0.1436,0.1436,0.2210,0.2221,0.2232,0.2244,0.2255,0.2267,0.2299,0.2334,0.2371,0.2410,0.2453,0.2055,0.1848,0.1714,0.1617,0.1542,0.1482,0.1482,0.1482,0.1482,0.1482,0.1894,0.1907,0.1920,0.1933,0.1947,0.1962,0.1996,0.2034,0.2075,0.2120,0.2170,0.1967,0.1830,0.1730,0.1652,0.1589,0.1536,0.1536,0.1536,0.1536,0.1536,0.1719,0.1732,0.1745,0.1758,0.1772,0.1787,0.1820,0.1857,0.1898,0.1943,0.1995,0.1894,0.1813,0.1747,0.1691,0.1643,0.1601,0.1601,0.1601,0.1601,0.1601,0.1602,0.1614,0.1627,0.1640,0.1654,0.1668,0.1701,0.1736,0.1776,0.1820,0.1871,0.1832,0.1797,0.1765,0.1736,0.1709,0.1684,0.1684,0.1684,0.1684,0.1684
