timestamp,z20_y0_x0,z20_y0_x5,z20_y0_x10,z20_y0_x15,z20_y0_x20,z20_y0_x25,z20_y0_x30,z20_y0_x35,z20_y0_x40,z20_y0_x45,z20_y0_x50,z20_y0_x55,z20_y0_x60,z20_y0_x65,z20_y0_x70,z20_y0_x75,z20_y0_x80,z20_y0_x85,z20_y0_x90,z20_y0_x95,z20_y0_x100,z30_y0_x0,z30_y0_x5,z30_y0_x10,z30_y0_x15,z30_y0_x20,z30_y0_x25,z30_y0_x30,z30_y0_x35,z30_y0_x40,z30_y0_x45,z30_y0_x50,z30_y0_x55,z30_y0_x60,z30_y0_x65,z30_y0_x70,z30_y0_x75,z30_y0_x80,z30_y0_x85,z30_y0_x90,z30_y0_x95,z30_y0_x100,z40_y0_x0,z40_y0_x5,z40_y0_x10,z40_y0_x15,z40_y0_x20,z40_y0_x25,z40_y0_x30,z40_y0_x35,z40_y0_x40,z40_y0_x45,z40_y0_x50,z40_y0_x55,z40_y0_x60,z40_y0_x65,z40_y0_x70,z40_y0_x75,z40_y0_x80,z40_y0_x85,z40_y0_x90,z40_y0_x95,z40_y0_x100,z50_y0_x0,z50_y0_x5,z50_y0_x10,z50_y0_x15,z50_y0_x20,z50_y0_x25,z50_y0_x30,z50_y0_x35,z50_y0_x40,z50_y0_x45,z50_y0_x50,z50_y0_x55,z50_y0_x60,z50_y0_x65,z50_y0_x70,z50_y0_x75,z50_y0_x80,z50_y0_x85,z50_y0_x90,z50_y0_x95,z50_y0_x100,z60_y0_x0,z60_y0_x5,z60_y0_x10,z60_y0_x15,z60_y0_x20,z60_y0_x25,z60_y0_x30,z60_y0_x35,z60_y0_x40,z60_y0_x45,z60_y0_x50,z60_y0_x55,z60_y0_x60,z60_y0_x65,z60_y0_x70,z60_y0_x75,z60_y0_x80,z60_y0_x85,z60_y0_x90,z60_y0_x95,z60_y0_x100
1657076400,-11.040,-11.040,-12.314,-12.314,-16.875,-16.875,-16.875,-23.526,-23.526,-29.444,-29.444,-29.444,-77.349,-77.349,-544.347,-544.347,-544.347,-600.075,-600.075,-590.445,-590.445,-13.253,-13.253,-14.983,-14.983,-20.820,-20.820,-20.820,-30.043,-30.043,-42.175,-42.175,-42.175,-110.745,-110.745,-516.012,-516.012,-516.012,-511.850,-511.850,-501.436,-501.436,-21.837,-21.837,-24.001,-24.001,-28.397,-28.397,-28.397,-46.501,-46.501,-124.988,-124.988,-124.988,-244.872,-244.872,-422.468,-422.468,-422.468,-378.901,-378.901,-369.988,-369.988,-40.243,-40.243,-40.400,-40.400,-42.701,-42.701,-42.701,-74.675,-74.675,-164.353,-164.353,-164.353,-231.933,-231.933,-330.529,-330.529,-330.529,-294.809,-294.809,-287.480,-287.480,-250.245,-250.245,-231.529,-231.529,-215.864,-215.864,-215.864,-189.271,-189.271,-159.975,-159.975,-159.975,-190.932,-190.932,-234.858,-234.858,-234.858,-227.562,-227.562,-221.081,-221.081
1657080000,-11.459,-11.459,-12.665,-12.665,-16.962,-16.962,-16.962,-23.446,-23.446,-29.709,-29.709,-29.709,-76.733,-76.733,-539.292,-539.292,-539.292,-600.246,-600.246,-590.589,-590.589,-13.615,-13.615,-15.230,-15.230,-20.727,-20.727,-20.727,-29.821,-29.821,-42.110,-42.110,-42.110,-110.025,-110.025,-514.257,-514.257,-514.257,-512.018,-512.018,-501.559,-501.559,-21.890,-21.890,-23.962,-23.962,-28.593,-28.593,-28.593,-46.343,-46.343,-122.839,-122.839,-122.839,-244.084,-244.084,-422.353,-422.353,-422.353,-378.979,-378.979,-370.015,-370.015,-39.563,-39.563,-40.012,-40.012,-42.718,-42.718,-42.718,-74.160,-74.160,-163.850,-163.850,-163.850,-231.947,-231.947,-330.470,-330.470,-330.470,-294.858,-294.858,-287.484,-287.484,-246.495,-246.495,-227.955,-227.955,-212.758,-212.758,-212.758,-188.541,-188.541,-160.114,-160.114,-160.114,-191.039,-191.039,-234.951,-234.951,-234.951,-227.604,-227.604,-221.148,-221.148
1657083600,-11.858,-11.858,-13.007,-13.007,-17.090,-17.090,-17.090,-23.444,-23.444,-30.034,-30.034,-30.034,-76.473,-76.473,-535.101,-535.101,-535.101,-601.199,-601.199,-591.449,-591.449,-13.970,-13.970,-15.492,-15.492,-20.716,-20.716,-20.716,-29.706,-29.706,-42.182,-42.182,-42.182,-109.663,-109.663,-513.268,-513.268,-513.268,-512.885,-512.885,-502.297,-502.297,-22.016,-22.016,-24.008,-24.008,-28.854,-28.854,-28.854,-46.305,-46.305,-121.074,-121.074,-121.074,-243.747,-243.747,-422.776,-422.776,-422.776,-379.496,-379.496,-370.399,-370.399,-39.142,-39.142,-39.822,-39.822,-42.883,-42.883,-42.883,-73.841,-73.841,-163.644,-163.644,-163.644,-232.302,-232.302,-330.767,-330.767,-330.767,-295.180,-295.180,-287.691,-287.691,-243.068,-243.068,-224.707,-224.707,-209.954,-209.954,-209.954,-188.042,-188.042,-160.434,-160.434,-160.434,-191.318,-191.318,-235.191,-235.191,-235.191,-227.738,-227.738,-221.229,-221.229
1657087200,-12.255,-12.255,-13.360,-13.360,-17.285,-17.285,-17.285,-23.579,-23.579,-30.521,-30.521,-30.521,-76.945,-76.945,-532.843,-532.843,-532.843,-603.876,-603.876,-593.885,-593.885,-14.342,-14.342,-15.794,-15.794,-20.829,-20.829,-20.829,-29.802,-29.802,-42.534,-42.534,-42.534,-110.080,-110.080,-513.993,-513.993,-513.993,-515.291,-515.291,-504.385,-504.385,-22.271,-22.271,-24.209,-24.209,-29.316,-29.316,-29.316,-46.537,-46.537,-120.075,-120.075,-120.075,-244.415,-244.415,-424.380,-424.380,-424.380,-380.982,-380.982,-371.566,-371.566,-39.181,-39.181,-40.029,-40.029,-43.360,-43.360,-43.360,-73.929,-73.929,-164.109,-164.109,-164.109,-233.410,-233.410,-331.850,-331.850,-331.850,-296.100,-296.100,-288.340,-288.340,-240.404,-240.404,-222.214,-222.214,-207.813,-207.813,-207.813,-188.051,-188.051,-161.156,-161.156,-161.156,-191.977,-191.977,-235.754,-235.754,-235.754,-228.071,-228.071,-221.339,-221.339
1657090800,-12.650,-12.650,-13.721,-13.721,-17.530,-17.530,-17.530,-23.814,-23.814,-31.122,-31.122,-31.122,-77.953,-77.953,-532.039,-532.039,-532.039,-607.776,-607.776,-597.440,-597.440,-14.730,-14.730,-16.129,-16.129,-21.037,-21.037,-21.037,-30.051,-30.051,-43.093,-43.093,-43.093,-111.071,-111.071,-515.955,-515.955,-515.955,-518.793,-518.793,-507.433,-507.433,-22.630,-22.630,-24.533,-24.533,-29.919,-29.919,-29.919,-46.967,-46.967,-119.638,-119.638,-119.638,-245.806,-245.806,-426.827,-426.827,-426.827,-383.156,-383.156,-373.290,-373.290,-39.553,-39.553,-40.524,-40.524,-44.061,-44.061,-44.061,-74.314,-74.314,-165.055,-165.055,-165.055,-235.057,-235.057,-333.491,-333.491,-333.491,-297.445,-297.445,-289.303,-289.303,-238.414,-238.414,-220.319,-220.319,-206.184,-206.184,-206.184,-188.424,-188.424,-162.166,-162.166,-162.166,-192.907,-192.907,-236.547,-236.547,-236.547,-228.544,-228.544,-221.473,-221.473
1657094400,-13.089,-13.089,-14.141,-14.141,-17.910,-17.910,-17.910,-24.326,-24.326,-32.111,-32.111,-32.111,-80.591,-80.591,-535.449,-535.449,-535.449,-615.388,-615.388,-604.386,-604.386,-15.201,-15.201,-16.576,-16.576,-21.479,-21.479,-21.479,-30.735,-30.735,-44.264,-44.264,-44.264,-113.779,-113.779,-521.659,-521.659,-521.659,-525.620,-525.620,-513.393,-513.393,-23.268,-23.268,-25.182,-25.182,-31.016,-31.016,-31.016,-48.001,-48.001,-120.784,-120.784,-120.784,-249.404,-249.404,-431.833,-431.833,-431.833,-387.421,-387.421,-376.702,-376.702,-40.842,-40.842,-41.875,-41.875,-45.442,-45.442,-45.442,-75.563,-75.563,-167.485,-167.485,-167.485,-238.346,-238.346,-336.826,-336.826,-336.826,-300.082,-300.082,-291.218,-291.218,-238.121,-238.121,-220.103,-220.103,-205.979,-205.979,-205.979,-189.893,-189.893,-164.054,-164.054,-164.054,-194.659,-194.659,-238.037,-238.037,-238.037,-229.442,-229.442,-221.671,-221.671
1657098000,-13.522,-13.522,-14.564,-14.564,-18.295,-18.295,-18.295,-24.839,-24.839,-33.084,-33.084,-33.084,-83.216,-83.216,-538.637,-538.637,-538.637,-622.655,-622.655,-611.018,-611.018,-15.679,-15.679,-17.030,-17.030,-21.934,-21.934,-21.934,-31.394,-31.394,-45.421,-45.421,-45.421,-116.406,-116.406,-527.055,-527.055,-527.055,-532.152,-532.152,-519.093,-519.093,-23.940,-23.940,-25.857,-25.857,-32.066,-32.066,-32.066,-49.002,-49.002,-121.845,-121.845,-121.845,-252.830,-252.830,-436.618,-436.618,-436.618,-391.508,-391.508,-379.966,-379.966,-42.112,-42.112,-43.206,-43.206,-46.783,-46.783,-46.783,-76.767,-76.767,-169.798,-169.798,-169.798,-241.506,-241.506,-340.018,-340.018,-340.018,-302.608,-302.608,-293.048,-293.048,-237.731,-237.731,-219.885,-219.885,-205.745,-205.745,-205.745,-191.274,-191.274,-165.872,-165.872,-165.872,-196.343,-196.343,-239.466,-239.466,-239.466,-230.301,-230.301,-221.867,-221.867
1657101600,-12.732,-12.732,-14.949,-14.949,-18.774,-18.774,-18.774,-25.542,-25.542,-34.317,-34.317,-34.317,-87.021,-87.021,-544.407,-544.407,-544.407,-632.056,-632.056,-619.598,-619.598,-16.204,-16.204,-17.570,-17.570,-22.561,-22.561,-22.561,-32.327,-32.327,-46.995,-46.995,-46.995,-120.135,-120.135,-534.657,-534.657,-534.657,-540.614,-540.614,-526.479,-526.479,-24.847,-24.847,-27.367,-27.367,-33.427,-33.427,-33.427,-50.388,-50.388,-123.884,-123.884,-123.884,-257.582,-257.582,-442.897,-442.897,-442.897,-396.815,-396.815,-384.210,-384.210,-44.010,-44.010,-45.134,-45.134,-48.548,-48.548,-48.548,-78.512,-78.512,-173.005,-173.005,-173.005,-245.643,-245.643,-344.200,-344.200,-344.200,-305.886,-305.886,-295.429,-295.429,-238.369,-238.369,-220.632,-220.632,-206.396,-206.396,-206.396,-193.305,-193.305,-168.208,-168.208,-168.208,-198.509,-198.509,-241.298,-241.298,-241.298,-231.403,-231.403,-222.102,-222.102
1657105200,-6.741,-6.741,-13.849,-13.849,-19.223,-19.223,-19.223,-26.397,-26.397,-35.675,-35.675,-35.675,-91.521,-91.521,-551.389,-551.389,-551.389,-642.241,-642.241,-628.895,-628.895,-16.011,-16.011,-18.099,-18.099,-23.291,-23.291,-23.291,-33.383,-33.383,-48.791,-48.791,-48.791,-124.408,-124.408,-543.153,-543.153,-543.153,-549.803,-549.803,-534.500,-534.500,-25.911,-25.911,-28.918,-28.918,-34.984,-34.984,-34.984,-51.950,-51.950,-126.388,-126.388,-126.388,-262.888,-262.888,-449.751,-449.751,-449.751,-402.593,-402.593,-388.828,-388.828,-46.261,-46.261,-47.415,-47.415,-50.584,-50.584,-50.584,-80.499,-80.499,-176.588,-176.588,-176.588,-250.174,-250.174,-348.765,-348.765,-348.765,-309.454,-309.454,-298.017,-298.017,-239.495,-239.495,-221.775,-221.775,-207.451,-207.451,-207.451,-195.604,-195.604,-170.749,-170.749,-170.749,-200.861,-200.861,-243.281,-243.281,-243.281,-232.593,-232.593,-222.355,-222.355
1657108800,-4.611,-4.611,-10.591,-10.591,-19.173,-19.173,-19.173,-27.029,-27.029,-36.800,-36.800,-36.800,-95.803,-95.803,-556.506,-556.506,-556.506,-650.336,-650.336,-636.282,-636.282,-13.305,-13.305,-18.078,-18.078,-23.917,-23.917,-23.917,-34.218,-34.218,-50.277,-50.277,-50.277,-127.807,-127.807,-549.667,-549.667,-549.667,-557.129,-557.129,-540.887,-540.887,-27.399,-27.399,-30.100,-30.100,-36.140,-36.140,-36.140,-53.212,-53.212,-128.153,-128.153,-128.153,-266.999,-266.999,-455.185,-455.185,-455.185,-407.207,-407.207,-392.502,-392.502,-48.074,-48.074,-49.290,-49.290,-52.142,-52.142,-52.142,-82.069,-82.069,-179.360,-179.360,-179.360,-253.796,-253.796,-352.390,-352.390,-352.390,-312.302,-312.302,-300.073,-300.073,-239.857,-239.857,-222.222,-222.222,-207.893,-207.893,-207.893,-197.321,-197.321,-172.801,-172.801,-172.801,-202.754,-202.754,-244.872,-244.872,-244.872,-233.545,-233.545,-222.578,-222.578
